Team,Level,Season,Age,IP,K9,BB9,KBB,HR9,Kp,BBp,KBBp,AVG,WHIP,BABIP,LOBp,ERA,FIP,EF,xFIP
CIN,A+,2022.0,23.67,29.98,10.33,5.21,2.51,0.78,0.26,0.13,0.14,0.23,1.47,0.3,0.7,4.9,4.38,0.52,4.4
CIN,AA,2022.0,24.97,35.52,10.26,5.92,2.18,1.71,0.24,0.13,0.11,0.26,1.84,0.34,0.66,8.19,6.06,2.13,5.56
CIN,AAA,2022.0,27.46,27.14,9.59,4.83,2.83,1.14,0.24,0.11,0.13,0.25,1.56,0.32,0.72,5.1,4.82,0.28,4.85
CIN,CPX,2022.0,22.38,9.23,12.48,5.29,2.91,0.63,0.32,0.12,0.21,0.22,1.47,0.35,0.72,4.2,4.55,-0.35,4.47
CIN,DSL,2022.0,18.86,16.44,10.67,6.79,2.41,0.45,0.24,0.14,0.1,0.25,1.82,0.34,0.58,6.03,4.77,1.26,4.86
CLE,A,2022.0,21.93,38.68,10.38,4.44,3.12,0.79,0.26,0.1,0.16,0.24,1.46,0.32,0.68,4.78,4.33,0.45,4.37
CLE,A+,2022.0,22.96,39.42,9.87,4.17,3.15,1.13,0.26,0.11,0.15,0.22,1.27,0.27,0.75,3.65,4.49,-0.84,4.44
CLE,AA,2022.0,24.08,33.2,10.75,7.03,2.6,2.78,0.26,0.13,0.13,0.25,1.95,0.32,0.7,9.27,7.79,1.48,5.62
CLE,AAA,2022.0,25.36,30.94,9.41,6.84,2.54,1.11,0.25,0.14,0.11,0.22,1.59,0.28,0.69,6.15,5.55,0.6,5.65
CLE,CPX,2022.0,21.3,14.53,10.4,4.79,3.21,0.92,0.26,0.1,0.16,0.22,1.54,0.28,0.7,6.05,5.13,0.93,4.84
CLE,DSL,2022.0,19.2,23.96,8.23,6.6,1.73,0.55,0.19,0.14,0.05,0.25,1.76,0.32,0.59,6.05,5.68,0.37,5.69
COL,A,2022.0,22.03,37.45,9.05,6.4,2.54,1.62,0.22,0.13,0.1,0.25,1.74,0.31,0.71,5.95,6.91,-0.96,6.08
COL,A+,2022.0,23.54,39.97,9.59,3.54,3.11,1.13,0.24,0.09,0.16,0.26,1.4,0.32,0.7,4.52,4.51,0.01,4.28
COL,AA,2022.0,24.67,43.83,9.0,3.47,3.14,1.8,0.23,0.09,0.15,0.25,1.41,0.3,0.68,5.74,5.37,0.37,4.72
COL,AAA,2022.0,27.16,33.54,7.82,5.21,1.84,1.71,0.19,0.12,0.07,0.29,1.86,0.34,0.67,7.43,6.51,0.92,6.01
COL,CPX,2022.0,22.16,11.12,11.09,3.24,5.24,0.88,0.3,0.08,0.23,0.19,1.14,0.28,0.78,3.01,4.36,-1.34,4.07
COL,DSL,2022.0,18.7,22.19,8.81,5.09,2.46,1.03,0.22,0.11,0.1,0.25,1.58,0.31,0.64,5.45,5.46,-0.0,4.77
DET,A,2022.0,23.46,21.27,10.05,4.83,2.85,0.76,0.26,0.1,0.15,0.25,1.57,0.33,0.7,5.82,4.3,1.52,4.3
DET,A+,2022.0,23.14,32.29,9.33,5.0,3.01,1.23,0.23,0.12,0.12,0.24,1.5,0.3,0.71,4.87,5.1,-0.23,4.63
DET,AA,2022.0,25.41,35.29,10.03,4.0,3.1,1.93,0.25,0.09,0.16,0.24,1.57,0.3,0.66,6.97,5.53,1.44,4.21
DET,AAA,2022.0,27.73,23.65,8.87,4.24,3.01,1.02,0.23,0.1,0.14,0.24,1.52,0.31,0.72,5.53,4.67,0.86,5.03
DET,CPX,2022.0,21.56,12.57,8.93,6.53,1.58,0.93,0.21,0.14,0.07,0.24,1.75,0.3,0.62,7.04,5.72,1.32,5.44
DET,DSL,2022.0,19.39,17.98,8.33,4.68,2.33,0.43,0.21,0.12,0.09,0.24,1.46,0.31,0.66,4.12,4.56,-0.45,4.71
HOU,A,2022.0,22.71,29.61,11.42,5.72,2.66,0.54,0.3,0.14,0.16,0.21,1.38,0.3,0.7,4.05,4.26,-0.21,4.45
