Name,Team,Level,Age,PA,BB,K,BBK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC1,wRAA,wOBA,wRC2,PlayerId
"Echedry Vargas","TEX","DSL",17,223,0.05829596,0.12107623,0.48148148,0.30102041,0.367713,0.51020408,0.87791708,0.20918367,8.709987101869043,0.32544379,0.11900415411219001,42.005819466724816,9.901330736294215,0.41098372952285905,130.84095442052353,"sa3018565"
"Thomas Sosa","BAL","DSL",17,160,0.0875,0.2625,0.33333333,0.20143885,0.29375,0.30215827,0.59590827,0.10071942,1.7503154395875922,0.26041667,-0.4649329783860594,15.696553241446637,-7.338057506844381,0.29992468655109406,68.14334052773691,"sa3018566"
"Jose Contreras","TBR","DSL",17,211,0.11848341,0.30331754,0.390625,0.22905028,0.33175355,0.32402235,0.6557759,0.09497207,5.1967978423641785,0.3362069,-0.8591052920091897,25.972355645312966,-4.404537278995813,0.3306699556197035,85.50036934333359,"sa3018567"
"Jean Joseph","TOR","DSL",17,185,0.11891892,0.15135135,0.78571429,0.20382166,0.31521739,0.21656051,0.5317779,0.01273885,3.388066872954286,0.24615385,-1.7880606020335108,16.01134808997943,-10.62242058773206,0.28570677999590266,60.11671980683136,"sa3018568"
"Daniel Benschop","CHC","DSL",17,124,0.05645161,0.21774194,0.25925926,0.22123894,0.28225806,0.27433628,0.55659434,0.05309734,5.456490344113978,0.28735632,-1.507605400402099,10.275538075080696,-7.576285254844842,0.2811782331235947,57.56016001937185,"sa3018569"
"Maximo Maria","ATL","DSL",17,180,0.18888889,0.32222222,0.5862069,0.20143885,0.37988827,0.34532374,0.72521201,0.14388489,7.0251429060190675,0.31168831,0.4305038081947714,28.44090771689361,2.5269706250662174,0.37362686648715143,109.75139600019774,"sa3018570"
"Jefferson Rojas","CHC","DSL",17,169,0.09467456,0.10650888,0.88888889,0.30344828,0.39053254,0.40689655,0.79742909,0.10344827,8.887684286671238,0.3359375,2.0446332877036184,29.073322561871652,4.743014958989269,0.3908848414818446,119.49426631345742,"sa3018571"
"Donis Rodriguez","MIL","DSL",16,112,0.19642857,0.20535714,0.95652174,0.17647059,0.35714286,0.18823529,0.54537815,0.0117647,5.394014487207353,0.234375,0.3187201169785112,12.234538386615652,-3.8896891371880584,0.31362319950546536,75.87674118685173,"sa3018572"
"John Cruz","NYY","DSL",16,224,0.21428571,0.27678571,0.77419355,0.22485207,0.41071429,0.3964497,0.80716399,0.17159763,7.231245960816659,0.32038835,-0.45660378504544497,41.41571090375883,9.167255856151403,0.4067077173718384,128.42696136177085,"sa3018573"
"Harold Grant","MIN","DSL",17,138,0.10144928,0.26086957,0.38888889,0.29752066,0.36956522,0.47107438,0.8406396,0.17355372,7.5852716471666,0.39285714,-2.0221472086850554,24.63594892843655,4.768597158035548,0.39886990405511163,124.00217811183045,"sa3018574"
