Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2022,"Taylor Cole","BOS","AAA",32,28,8.678571428571429,6.107142857142857,1.42105263,0.6428571428571429,0.20930233,0.14728682,0.06201551,0.26415094,1.6785714285714286,0.33766234,0.72614108,5.142857142857143,4.971923405783517,0.1709337370736259,5.756199822042669,"11964"
2022,"Yimi Garcia","TOR","AAA",31,1,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,0,-0.4923623085021971,0.4923623085021971,1.1614218175411226,"12095"
2022,"Parker Markel","OAK","AAA",31,19,13.263157894736842,4.7368421052631575,2.8,0.9473684210526315,0.35443038,0.12658228,0.2278481,0.19117647,1.2105263157894737,0.28947368,0.89622642,1.894736842105263,4.013187247828433,-2.11845040572317,4.7758791816862,"12106"
2022,"Parker Markel","CHW","AAA",31,21,11.571428571428571,7.714285714285714,1.5,2.142857142857143,0.24324324,0.16216216,0.08108108,0.30769231,2.1904761904761907,0.38983051,0.53658537,10.285714285714286,6.888590072450183,3.397124213264103,5.604639353354772,"12106"
2022,"Domingo Tapia","OAK","AAA",30,30.2,8.5108686829786,3.5217387653704555,2.41666667,0.29347823044753796,0.21969697,0.09090909,0.12878788,0.21367521,1.2065216140621005,0.27586207,0.7253886,1.7608693826852277,3.8552925109863283,-2.0944231283011003,4.751742855341503,"12178"
2022,"Domingo Tapia","KCR","AAA",30,5,3.6,5.4,0.66666667,0,0.10526316,0.15789474,-0.05263158,0.1875,1.2,0.21428571,0.66666667,3.6,4.507637691497803,-0.9076376914978028,5.8306649923324585,"12178"
2022,"Dan Winkler","TEX","AAA",32,18,13,6.5,2,1,0.32098765,0.16049383,0.16049382,0.18181818,1.3888888888888888,0.26315789,0.74380165,3.5,4.9108480665418845,-1.4108480665418845,5.266010144021776,"12237"
2022,"Dan Winkler","CHW","AAA",32,28,9.642857142857142,4.821428571428571,2,0.9642857142857143,0.24793388,0.12396694,0.12396694,0.24038462,1.4285714285714286,0.30985915,0.74074074,4.178571428571429,4.579066262926374,-0.40049483435494526,4.78092952732529,"12237"
2022,"Ryan Sherriff","PHI","AA",32,1,18,0,2,0,0.66666667,0,0.66666667,0,0,0,1,0,-0.5850127220153807,0.5850127220153807,0.963880103826523,"12249"
2022,"Ryan Sherriff","PHI","A",32,2,18,4.5,4,0,0.44444444,0.11111111,0.33333333,0.14285714,1,0.33333333,1,0,2.5204588890075685,-2.5204588890075685,3.2002405121922495,"12249"
2022,"Ryan Sherriff","PHI","AAA",32,11.1,9.529414437634648,4.764707218817324,2,0.7941178698028872,0.23529412,0.11764706,0.11764706,0.28571429,1.5882357396057745,0.37931034,0.86734694,3.176471479211549,4.919402793369603,-1.7429313141580538,5.231565345084711,"12249"
2022,"Aaron Brooks","STL","AAA",32,69.2,6.976077573650681,2.5837324346854373,2.7,1.1626795956084468,0.18,0.06666667,0.11333333,0.29136691,1.449760977240162,0.33488372,0.64159292,5.55502473457369,4.584192872616735,0.9708318619569551,4.376555748729057,"12272"
2022,"Jacob Barnes","DET","AAA",32,6,18,3,6,0,0.44444444,0.07407407,0.37037037,0.28,1.5,0.53846154,0.77777778,3,0.5076376914978034,2.4923623085021966,1.3345297545194632,"12323"
2022,"Jacob Barnes","SEA","AAA",32,4,11.25,2.25,5,0,0.29411765,0.05882353,0.23529412,0.25,1.25,0.36363636,1,0,2.1052925109863283,-2.1052925109863283,3.6237105138599874,"12323"
2022,"Jacob Barnes","NYY","AAA",32,8,9,4.5,2,0,0.25,0.125,0.125,0.14285714,1,0.2,0.625,2.25,3.007637691497803,-0.7576376914978029,4.454698801785708,"12323"
